Date,No_of_calls_from_commercial_card,No_of_calls_from_retail_card,No_of_calls_from_student_card
1/1/2017,264,403,860
1/2/2017,528,792,1681
1/3/2017,2505,3774,7639
1/4/2017,2145,3236,6513
1/5/2017,2164,3265,6604
1/6/2017,1787,2697,5482
1/7/2017,464,715,1449
1/8/2017,505,758,1574
1/9/2017,2107,3172,6423
1/10/2017,2283,3436,6940
1/11/2017,2119,3190,6467
1/12/2017,2061,3102,6282
1/13/2017,1833,2769,5571
1/14/2017,429,652,1347
1/15/2017,459,705,1481
1/16/2017,1681,2539,5123
1/17/2017,2246,3376,6847
1/18/2017,2007,3028,6105
1/19/2017,2133,3204,6432
1/20/2017,1920,2896,5817
1/21/2017,539,812,1682
1/22/2017,524,786,1588
1/23/2017,2443,3683,7422
1/24/2017,2082,3130,6339
1/25/2017,2024,3041,6108
1/26/2017,1873,2812,5675
1/27/2017,1753,2642,5302
1/28/2017,410,621,1337
1/29/2017,591,902,1874
1/30/2017,2268,3411,6916
1/31/2017,2092,3153,6327
2/1/2017,2323,3494,7058
2/2/2017,1873,2827,5692
2/3/2017,1808,2719,5483
2/4/2017,453,688,1378
2/5/2017,531,811,1652
2/6/2017,2262,3394,6810
2/7/2017,1945,2932,5931
2/8/2017,1929,2900,5850
2/9/2017,1700,2554,5140
2/10/2017,1643,2484,5032
2/11/2017,482,723,1524
2/12/2017,517,791,1628
2/13/2017,2081,3140,6364
2/14/2017,1828,2746,5558
2/15/2017,1784,2688,5461
2/16/2017,1923,2899,5860
2/17/2017,1761,2656,5379
2/18/2017,440,672,1416
2/19/2017,515,785,1667
2/20/2017,1644,2469,5024
2/21/2017,2058,3095,6280
2/22/2017,1882,2829,5683
2/23/2017,1843,2768,5620
2/24/2017,1703,2572,5192
2/25/2017,477,727,1539
2/26/2017,520,799,1625
2/27/2017,2217,3329,6734
2/28/2017,2034,3067,6173
3/1/2017,2105,3176,6370
3/2/2017,2089,3137,6302
3/3/2017,1941,2915,5919
3/4/2017,442,681,1400
3/5/2017,527,808,1712
3/6/2017,2198,3315,6712
3/7/2017,1966,2952,5998
3/8/2017,1807,2725,5485
3/9/2017,1688,2541,5172
3/10/2017,1533,2309,4715
3/11/2017,422,649,1326
3/12/2017,459,706,1440
3/13/2017,1917,2890,5854
3/14/2017,1746,2630,5303
3/15/2017,1697,2552,5161
3/16/2017,1608,2419,4934
3/17/2017,1510,2273,4561
3/18/2017,424,649,1301
3/19/2017,507,777,1649
3/20/2017,2042,3075,6172
3/21/2017,1994,2998,6003
3/22/2017,1774,2678,5440
3/23/2017,1765,2656,5337
3/24/2017,1679,2538,5156
3/25/2017,435,655,1398
3/26/2017,470,708,1456
3/27/2017,2091,3143,6349
3/28/2017,1885,2836,5679
3/29/2017,1826,2756,5567
3/30/2017,1886,2831,5683
3/31/2017,1785,2695,5444
4/1/2017,416,631,1266
4/2/2017,564,858,1763
4/3/2017,2681,4033,8084
4/4/2017,2146,3228,6478
4/5/2017,1983,2992,6015
4/6/2017,1813,2725,5491
4/7/2017,1682,2529,5069
4/8/2017,396,604,1245
4/9/2017,486,736,1563
4/10/2017,1979,2972,6010
4/11/2017,1779,2677,5363
4/12/2017,1629,2451,4949
4/13/2017,1606,2428,4875
4/14/2017,1130,1713,3489
4/15/2017,343,528,1096
4/16/2017,325,488,977
4/17/2017,2072,3126,6274
4/18/2017,1941,2923,5875
4/19/2017,1766,2667,5392
4/20/2017,1786,2680,5384
4/21/2017,1687,2546,5107
4/22/2017,504,775,1600
4/23/2017,522,793,1680
4/24/2017,2224,3346,6787
4/25/2017,2067,3107,6308
4/26/2017,2009,3027,6073
4/27/2017,1900,2853,5737
4/28/2017,1842,2767,5545
4/29/2017,518,795,1640
4/30/2017,566,852,1706
5/1/2017,2418,3633,7284
5/2/2017,2324,3505,7031
5/3/2017,2134,3219,6474
5/4/2017,1904,2866,5754
5/5/2017,1702,2569,5138
5/6/2017,449,687,1468
5/7/2017,494,744,1557
5/8/2017,1981,2983,6061
5/9/2017,1743,2630,5323
5/10/2017,1775,2665,5379
5/11/2017,1735,2617,5315
5/12/2017,1688,2539,5127
5/13/2017,450,685,1393
5/14/2017,438,667,1392
5/15/2017,2112,3169,6363
5/16/2017,1853,2789,5603
5/17/2017,1778,2679,5436
5/18/2017,1758,2643,5379
5/19/2017,1670,2519,5117
5/20/2017,432,653,1378
5/21/2017,468,721,1478
5/22/2017,2132,3207,6487
5/23/2017,2044,3073,6195
5/24/2017,1950,2943,5968
5/25/2017,1751,2632,5291
5/26/2017,1593,2408,4876
5/27/2017,356,535,1164
5/28/2017,341,525,1062
5/29/2017,378,584,1168
5/30/2017,2154,3244,6587
5/31/2017,1909,2869,5812
6/1/2017,2166,3260,6528
6/2/2017,1813,2729,5554
6/3/2017,461,711,1439
6/4/2017,508,778,1592
6/5/2017,2235,3354,6774
6/6/2017,1946,2936,5919
6/7/2017,1772,2675,5412
6/8/2017,1690,2546,5136
6/9/2017,1479,2220,4451
6/10/2017,447,677,1396
6/11/2017,464,698,1415
6/12/2017,2010,3019,6095
6/13/2017,1849,2793,5620
6/14/2017,1679,2538,5149
6/15/2017,1750,2643,5349
6/16/2017,1703,2563,5193
6/17/2017,412,619,1269
6/18/2017,473,723,1539
6/19/2017,2097,3154,6324
6/20/2017,1909,2882,5783
6/21/2017,1956,2935,5963
6/22/2017,1849,2774,5609
6/23/2017,1714,2573,5229
6/24/2017,532,809,1679
6/25/2017,578,867,1747
6/26/2017,2242,3376,6757
6/27/2017,2169,3257,6606
6/28/2017,1968,2967,5956
6/29/2017,1968,2963,5982
6/30/2017,1680,2535,5158
7/1/2017,394,595,1248
7/2/2017,338,513,1056
7/3/2017,1436,2159,4408
7/4/2017,263,398,801
7/5/2017,2043,3078,6247
7/6/2017,1943,2933,5871
7/7/2017,1729,2594,5215
7/8/2017,409,619,1286
7/9/2017,485,728,1529
7/10/2017,2051,3081,6177
7/11/2017,1977,2974,5993
7/12/2017,1833,2758,5536
7/13/2017,1705,2563,5144
7/14/2017,1585,2385,4782
7/15/2017,493,757,1577
7/16/2017,493,754,1574
7/17/2017,2061,3109,6258
7/18/2017,1941,2924,5915
7/19/2017,1739,2621,5265
7/20/2017,1687,2545,5185
7/21/2017,1736,2615,5257
7/22/2017,546,836,1759
7/23/2017,493,758,1545
7/24/2017,2080,3122,6278
7/25/2017,1891,2845,5760
7/26/2017,1935,2920,5921
7/27/2017,1545,2331,4689
7/28/2017,1474,2222,4520
7/29/2017,405,610,1264
7/30/2017,444,671,1428
7/31/2017,1963,2952,5976
8/1/2017,2148,3230,6481
8/2/2017,1923,2888,5837
8/3/2017,1733,2610,5284
8/4/2017,1651,2477,5016
8/5/2017,389,585,1231
8/6/2017,411,636,1288
8/7/2017,1859,2793,5608
8/8/2017,1704,2556,5158
8/9/2017,1591,2400,4841
8/10/2017,1462,2197,4476
8/11/2017,1467,2203,4445
8/12/2017,435,669,1349
8/13/2017,408,630,1305
8/14/2017,1650,2482,4971
8/15/2017,1581,2380,4774
8/16/2017,1613,2427,4917
8/17/2017,1592,2392,4806
8/18/2017,1490,2249,4503
8/19/2017,377,573,1219
8/20/2017,387,584,1217
8/21/2017,1712,2577,5253
8/22/2017,1762,2645,5387
8/23/2017,1670,2517,5133
8/24/2017,1585,2388,4867
8/25/2017,1546,2322,4649
8/26/2017,430,645,1369
8/27/2017,447,687,1381
8/28/2017,1892,2850,5727
8/29/2017,1712,2578,5174
8/30/2017,1883,2830,5689
8/31/2017,1974,2969,5955
9/1/2017,1790,2686,5441
9/2/2017,312,481,1008
9/3/2017,325,489,1071
9/4/2017,420,649,1389
9/5/2017,2316,3490,7030
9/6/2017,1973,2961,6001
9/7/2017,1758,2654,5332
9/8/2017,1621,2443,4960
9/9/2017,453,681,1412
9/10/2017,425,652,1345
9/11/2017,1678,2523,5077
9/12/2017,1710,2565,5186
9/13/2017,1786,2693,5439
9/14/2017,1724,2596,5235
9/15/2017,1518,2290,4644
9/16/2017,419,635,1362
9/17/2017,535,815,1691
9/18/2017,1933,2909,5826
9/19/2017,1758,2640,5292
9/20/2017,1830,2749,5500
9/21/2017,1647,2471,4973
9/22/2017,1508,2263,4560
9/23/2017,466,706,1428
9/24/2017,518,789,1677
9/25/2017,2050,3084,6196
9/26/2017,1861,2798,5668
9/27/2017,1709,2575,5243
9/28/2017,1716,2593,5283
9/29/2017,1558,2347,4701
9/30/2017,437,674,1434
10/1/2017,592,889,1800
10/2/2017,2216,3338,6688
10/3/2017,2159,3258,6543
10/4/2017,1946,2923,5869
10/5/2017,1767,2660,5329
10/6/2017,1563,2351,4775
10/7/2017,456,691,1394
10/8/2017,490,753,1528
10/9/2017,1986,2993,6013
10/10/2017,1856,2790,5614
10/11/2017,1816,2727,5541
10/12/2017,1840,2779,5657
10/13/2017,1632,2463,4946
10/14/2017,465,700,1467
10/15/2017,514,776,1552
10/16/2017,2124,3198,6412
10/17/2017,2043,3080,6234
10/18/2017,1987,2992,5996
10/19/2017,1893,2855,5766
10/20/2017,1671,2508,5036
10/21/2017,435,663,1409
10/22/2017,520,785,1659
10/23/2017,2265,3412,6886
10/24/2017,2115,3191,6386
10/25/2017,1882,2841,5726
10/26/2017,1890,2842,5755
10/27/2017,1573,2377,4780
10/28/2017,422,653,1325
10/29/2017,488,732,1542
10/30/2017,2081,3136,6325
10/31/2017,1953,2948,5969
11/1/2017,2412,3627,7277
11/2/2017,2027,3053,6120
11/3/2017,1850,2785,5656
11/4/2017,414,628,1348
11/5/2017,573,865,1753
11/6/2017,2240,3367,6784
11/7/2017,2026,3055,6205
11/8/2017,1892,2843,5700
11/9/2017,2348,3525,7129
11/10/2017,2365,3551,7200
11/11/2017,391,594,1269
11/12/2017,518,793,1675
11/13/2017,3075,4623,9331
11/14/2017,2439,3665,7361
11/15/2017,2296,3454,6991
11/16/2017,2512,3783,7637
11/17/2017,2025,3041,6091
11/18/2017,369,567,1180
11/19/2017,407,627,1302
11/20/2017,2308,3466,6948
11/21/2017,2353,3531,7110
11/22/2017,1725,2603,5243
11/23/2017,184,289,598
11/24/2017,496,754,1528
11/25/2017,327,505,1028
11/26/2017,397,613,1303
11/27/2017,3146,4734,9502
11/28/2017,2531,3799,7631
11/29/2017,2548,3827,7721
11/30/2017,2531,3812,7648
12/1/2017,2210,3319,6676
12/2/2017,428,645,1346
12/3/2017,545,827,1683
12/4/2017,2704,4073,8244
12/5/2017,2560,3846,7734
12/6/2017,2427,3651,7400
12/7/2017,2318,3490,7029
12/8/2017,2122,3202,6441
12/9/2017,452,681,1397
12/10/2017,429,654,1391
12/11/2017,2657,4003,8058
12/12/2017,2617,3928,7910
12/13/2017,2209,3326,6666
12/14/2017,2075,3127,6331
12/15/2017,1858,2789,5582
12/16/2017,397,600,1236
12/17/2017,420,637,1374
12/18/2017,2186,3281,6657
12/19/2017,2059,3089,6228
12/20/2017,1956,2948,5960
12/21/2017,2078,3130,6318
12/22/2017,1403,2113,4323
12/23/2017,329,509,1106
12/24/2017,208,325,676
12/25/2017,97,157,324
12/26/2017,1063,1613,3297
12/27/2017,1572,2368,4787
12/28/2017,1547,2335,4715
12/29/2017,1208,1818,3732
12/30/2017,314,480,995
12/31/2017,323,504,1049
1/1/2018,200,305,709
1/2/2018,3529,7136,2343
1/3/2018,6862,2257,3404
1/4/2018,2024,3036,6153
1/5/2018,5934,1970,2961
1/6/2018,448,675,1352
1/7/2018,1379,422,650
1/8/2018,2124,6427,3203
1/9/2018,3210,6431,2130
1/10/2018,2995,6032,1994
1/11/2018,1906,5749,2861
1/12/2018,5308,1748,2630
1/13/2018,647,1351,424
1/14/2018,602,388,1271
1/15/2018,2298,4672,1524
1/16/2018,6318,2072,3125
1/17/2018,2823,5717,1881
1/18/2018,1868,2811,5714
1/19/2018,2961,1971,5941
1/20/2018,1614,776,516
1/21/2018,1781,562,862
1/22/2018,3508,2327,7093
1/23/2018,6575,3253,2167
1/24/2018,3104,6228,2069
1/25/2018,1922,5799,2889
1/26/2018,1667,2512,5053
1/27/2018,442,1450,682
1/28/2018,1585,762,501
1/29/2018,2265,3404,6825
1/30/2018,2158,6516,3256
1/31/2018,1929,2897,5867
2/1/2018,2337,7081,3512
2/2/2018,6258,3096,2063
2/3/2018,684,1466,446
2/4/2018,772,503,1602
2/5/2018,2417,3638,7333
2/6/2018,6394,3149,2086
2/7/2018,5962,2972,1971
2/8/2018,2961,5961,1961
2/9/2018,1786,5404,2680
2/10/2018,1251,605,402
2/11/2018,457,1473,697
2/12/2018,3258,6592,2167
2/13/2018,1975,2967,5966
2/14/2018,2864,5776,1903
2/15/2018,1805,5426,2712
2/16/2018,5076,2531,1687
2/17/2018,438,670,1344
2/18/2018,707,466,1458
2/19/2018,1501,4547,2261
2/20/2018,6193,2043,3070
2/21/2018,3145,6321,2090
2/22/2018,5961,2951,1960
2/23/2018,1700,2568,5199
2/24/2018,450,685,1429
2/25/2018,933,609,1870
2/26/2018,3537,7171,2349
2/27/2018,6592,2175,3274
2/28/2018,2265,6871,3406
3/1/2018,2307,6944,3468
3/2/2018,5743,2843,1892
3/3/2018,749,491,1551
3/4/2018,886,581,1837
3/5/2018,6756,2239,3366
3/6/2018,6615,3307,2201
3/7/2018,2818,5660,1874
3/8/2018,1818,5543,2731
3/9/2018,5221,1718,2585
3/10/2018,727,1472,474
3/11/2018,1352,654,426
3/12/2018,3098,2061,6271
3/13/2018,1913,2872,5761
3/14/2018,1866,2805,5681
3/15/2018,2757,5530,1825
3/16/2018,1642,4982,2466
3/17/2018,589,382,1220
3/18/2018,529,802,1687
3/19/2018,3035,2011,6071
3/20/2018,6406,2113,3185
3/21/2018,2883,5815,1910
3/22/2018,1913,2884,5780
3/23/2018,2639,5367,1747
3/24/2018,370,1230,568
3/25/2018,1483,467,716
3/26/2018,6696,3305,2196
3/27/2018,2085,3129,6319
3/28/2018,3070,2034,6235
3/29/2018,2960,5987,1969
3/30/2018,1483,4490,2228
3/31/2018,303,1010,473
4/1/2018,524,339,1131
4/2/2018,3520,7093,2346
4/3/2018,7391,2447,3671
4/4/2018,6210,2040,3062
4/5/2018,3079,6250,2044
4/6/2018,5710,2834,1880
4/7/2018,646,1324,421
4/8/2018,812,1642,538
4/9/2018,2331,7108,3505
4/10/2018,6296,2078,3132
4/11/2018,1949,2935,5894
4/12/2018,1917,2887,5792
4/13/2018,2534,1683,5126
4/14/2018,399,606,1240
4/15/2018,503,1584,769
4/16/2018,3378,6846,2248
4/17/2018,6343,2104,3156
4/18/2018,2038,6156,3074
4/19/2018,6096,3041,2014
4/20/2018,2819,1868,5652
4/21/2018,728,477,1500
4/22/2018,850,564,1733
4/23/2018,2389,3585,7267
4/24/2018,6748,2244,3367
4/25/2018,6525,2160,3250
4/26/2018,3240,6547,2154
4/27/2018,5391,2658,1769
4/28/2018,1384,457,690
4/29/2018,556,850,1730
4/30/2018,3598,7275,2391
5/1/2018,3777,7596,2513
5/2/2018,6864,2281,3424
5/3/2018,3204,2123,6443
5/4/2018,5377,2650,1766
5/5/2018,522,1137,348
5/6/2018,484,1500,745
5/7/2018,2233,6743,3367
5/8/2018,2106,6400,3159
5/9/2018,2975,5965,1978
5/10/2018,6255,3083,2042
5/11/2018,2606,1725,5298
5/12/2018,1269,597,392
5/13/2018,1481,722,474
5/14/2018,6386,2116,3179
5/15/2018,2097,6396,3154
5/16/2018,2024,6079,3039
5/17/2018,5933,1965,2949
5/18/2018,2621,1736,5325
5/19/2018,559,369,1198
5/20/2018,514,1549,774
5/21/2018,6541,2168,3261
5/22/2018,3146,6309,2091
5/23/2018,6288,3126,2083
5/24/2018,5615,1851,2784
5/25/2018,2452,1627,4950
5/26/2018,505,1083,324
5/27/2018,1158,542,350
5/28/2018,1083,494,317
5/29/2018,2390,7246,3588
5/30/2018,3171,6406,2104
5/31/2018,2009,3033,6102
6/1/2018,5986,2952,1966
6/2/2018,415,624,1261
6/3/2018,896,1858,597
6/4/2018,6423,3183,2121
6/5/2018,2011,6077,3036
6/6/2018,1871,5627,2808
6/7/2018,2572,1704,5195
6/8/2018,2175,1441,4394
6/9/2018,394,1264,607
6/10/2018,474,718,1535
6/11/2018,3055,6193,2029
6/12/2018,1886,5770,2841
6/13/2018,1767,5405,2655
6/14/2018,2856,1891,5809
6/15/2018,4672,1527,2300
6/16/2018,333,1054,508
6/17/2018,560,361,1214
6/18/2018,1900,5734,2866
6/19/2018,2953,1966,5969
6/20/2018,2006,3023,6094
6/21/2018,1858,5673,2794
6/22/2018,1667,2504,5023
6/23/2018,381,1221,575
6/24/2018,1696,799,526
6/25/2018,3039,2013,6136
6/26/2018,2013,3025,6143
6/27/2018,3106,2062,6297
6/28/2018,3007,6027,1999
6/29/2018,1776,2669,5376
6/30/2018,1503,733,479
7/1/2018,497,746,1519
7/2/2018,2219,6749,3339
7/3/2018,6101,2006,3024
7/4/2018,269,920,414
7/5/2018,1808,5459,2725
7/6/2018,2547,5140,1696
7/7/2018,595,395,1193
7/8/2018,712,468,1483
7/9/2018,7643,3783,2518
7/10/2018,2194,3305,6613
7/11/2018,2046,6197,3070
7/12/2018,3181,2109,6417
7/13/2018,1825,5534,2742
7/14/2018,623,1307,405
7/15/2018,672,447,1420
7/16/2018,3385,6854,2255
7/17/2018,2211,6661,3319
7/18/2018,2095,3162,6326
7/19/2018,6162,2033,3066
7/20/2018,6250,2047,3080
7/21/2018,1450,686,457
7/22/2018,868,1778,578
7/23/2018,4516,9104,3002
7/24/2018,2469,3722,7524
7/25/2018,2443,7403,3676
7/26/2018,2209,6681,3327
7/27/2018,3036,6090,2023
7/28/2018,418,1329,631
7/29/2018,1662,799,521
7/30/2018,2337,3515,7047
7/31/2018,7085,3540,2356
8/1/2018,2406,3619,7336
8/2/2018,6664,3299,2194
8/3/2018,6016,1964,2963
8/4/2018,1263,391,589
8/5/2018,480,1456,721
8/6/2018,2409,3620,7272
8/7/2018,3475,6975,2313
8/8/2018,3173,6349,2112
8/9/2018,2997,6084,1994
8/10/2018,1897,5791,2865
8/11/2018,532,1131,349
8/12/2018,1356,414,640
8/13/2018,2322,3497,7010
8/14/2018,6721,3331,2216
8/15/2018,6515,2152,3232
8/16/2018,3269,2166,6573
8/17/2018,1918,2889,5847
8/18/2018,597,397,1240
8/19/2018,1375,664,433
8/20/2018,7099,2350,3540
8/21/2018,7048,3521,2334
8/22/2018,2232,6712,3350
8/23/2018,6646,3285,2179
8/24/2018,2912,5880,1939
8/25/2018,642,417,1307
8/26/2018,1377,451,677
8/27/2018,9229,4607,3058
8/28/2018,3604,2398,7247
8/29/2018,3530,7067,2346
8/30/2018,2127,6423,3200
8/31/2018,5934,1962,2946
9/1/2018,467,703,1481
9/2/2018,534,346,1072
9/3/2018,1395,454,681
9/4/2018,9183,4588,3050
9/5/2018,7835,3894,2589
9/6/2018,3483,7038,2312
9/7/2018,2966,5996,1977
9/8/2018,617,1896,945
9/9/2018,662,435,1340
9/10/2018,3709,2462,7486
9/11/2018,7030,2311,3482
9/12/2018,6318,2080,3124
9/13/2018,3175,2105,6427
9/14/2018,1903,2870,5811
9/15/2018,1628,530,808
9/16/2018,1417,429,660
9/17/2018,2463,7409,3698
9/18/2018,6711,3314,2209
9/19/2018,6447,2136,3213
9/20/2018,6411,2122,3201
9/21/2018,6037,2974,1970
9/22/2018,726,1542,477
9/23/2018,507,779,1571
9/24/2018,2451,7465,3690
9/25/2018,3315,2209,6647
9/26/2018,3443,6978,2290
9/27/2018,2172,3258,6538
9/28/2018,2128,3207,6439
9/29/2018,1829,580,879
9/30/2018,722,1493,479
10/1/2018,3647,2431,7314
10/2/2018,2381,3580,7192
10/3/2018,2222,3335,6741
10/4/2018,2327,3498,7066
10/5/2018,2317,6956,3477
10/6/2018,667,1016,2088
10/7/2018,513,770,1593
10/8/2018,6452,3202,2132
10/9/2018,3880,2586,7764
10/10/2018,3520,2341,7109
10/11/2018,6855,2257,3388
10/12/2018,6368,3163,2105
10/13/2018,1921,621,948
10/14/2018,527,800,1654
10/15/2018,2478,7494,3733
10/16/2018,2459,3689,7399
10/17/2018,7060,3491,2319
10/18/2018,3341,6704,2221
10/19/2018,2029,3055,6197
10/20/2018,876,1851,573
10/21/2018,827,542,1720
10/22/2018,7967,2644,3978
10/23/2018,2350,7084,3532
10/24/2018,2333,7027,3512
10/25/2018,6979,2309,3483
10/26/2018,3166,6363,2107
10/27/2018,924,1902,607
10/28/2018,1608,514,786
10/29/2018,7561,2503,3756
10/30/2018,2509,3781,7624
10/31/2018,3218,6486,2135
11/1/2018,7145,2359,3549
11/2/2018,2273,3429,6873
11/3/2018,1909,622,938
11/4/2018,566,1753,854
11/5/2018,7914,2632,3949
11/6/2018,2521,7647,3791
11/7/2018,3465,2307,6951
11/8/2018,2199,3302,6661
11/9/2018,3097,2053,6288
11/10/2018,1899,616,936
11/11/2018,742,1561,485
11/12/2018,1915,5827,2882
11/13/2018,6881,3413,2262
11/14/2018,7112,2350,3536
11/15/2018,3313,2206,6691
11/16/2018,2325,7090,3501
11/17/2018,1711,833,547
11/18/2018,414,636,1368
11/19/2018,2406,3621,7339
11/20/2018,2106,6405,3165
11/21/2018,2585,5206,1718
11/22/2018,187,288,624
11/23/2018,1845,590,905
11/24/2018,778,517,1573
11/25/2018,1570,512,779
11/26/2018,2799,8516,4217
11/27/2018,3983,2653,7986
11/28/2018,2379,7186,3574
11/29/2018,2208,3326,6693
11/30/2018,6846,2250,3394
12/1/2018,2286,1107,735
12/2/2018,1782,872,573
12/3/2018,8719,4339,2885
12/4/2018,2509,3780,7628
12/5/2018,6798,3362,2238
12/6/2018,2120,3184,6428
12/7/2018,2012,3025,6081
12/8/2018,1954,622,937
12/9/2018,676,1367,444
12/10/2018,2208,6734,3329
12/11/2018,2268,6868,3408
12/12/2018,3199,6473,2128
12/13/2018,3017,6112,2010
12/14/2018,2843,1891,5713
12/15/2018,1899,592,907
12/16/2018,599,1217,398
12/17/2018,7422,3703,2464
12/18/2018,2228,3361,6781
12/19/2018,2062,6286,3094
12/20/2018,6398,2097,3163
12/21/2018,4935,2459,1629
12/22/2018,1990,954,628
12/23/2018,1064,505,331
12/24/2018,573,1785,872
12/25/2018,292,135,81
12/26/2018,4101,1349,2042
12/27/2018,1532,4650,2315
12/28/2018,1516,2286,4583
12/29/2018,839,1749,553
12/30/2018,533,1092,351
12/31/2018,1097,1656,3391
1/1/2019,280,637,175
1/2/2019,2356,7128,3537
1/3/2019,6563,3258,2163
1/4/2019,5935,1934,2918
1/5/2019,925,1935,606
1/6/2019,466,707,1443
1/7/2019,3477,2311,7000
1/8/2019,5823,1936,2905
1/9/2019,1876,5762,2833
1/10/2019,2767,1842,5568
1/11/2019,2706,5417,1791
1/12/2019,568,1768,852
1/13/2019,1355,424,647
1/14/2019,2112,6363,3177
1/15/2019,1932,5815,2905
1/16/2019,5670,2795,1856
1/17/2019,1910,5807,2866
1/18/2019,2722,1811,5449
1/19/2019,525,805,1658
1/20/2019,407,1306,614
1/21/2019,1309,4024,1972
1/22/2019,6310,2085,3139
1/23/2019,5779,1891,2848
1/24/2019,5375,2677,1783
1/25/2019,5003,1655,2492
1/26/2019,1704,806,533
1/27/2019,642,1313,416
1/28/2019,1973,6004,2972
1/29/2019,6139,3049,2020
1/30/2019,1839,2760,5554
1/31/2019,5858,2887,1924
2/1/2019,6101,2015,3029
2/2/2019,638,1974,967
2/3/2019,1594,509,780
2/4/2019,2278,6887,3425
2/5/2019,2039,3075,6174
2/6/2019,2918,1940,5845
2/7/2019,6753,2230,3353
2/8/2019,3281,2187,6642
2/9/2019,476,1501,732
2/10/2019,488,735,1478
2/11/2019,2178,3277,6644
2/12/2019,2836,1883,5767
2/13/2019,6095,3037,2018
2/14/2019,5271,1732,2612
2/15/2019,1656,2489,5057
2/16/2019,752,499,1509
2/17/2019,1300,602,399
2/18/2019,4078,1353,2035
2/19/2019,3161,2098,6398
2/20/2019,1942,2924,5896
2/21/2019,2970,1971,5984
2/22/2019,5329,1769,2660
2/23/2019,833,552,1729
2/24/2019,1437,678,445
2/25/2019,3113,2063,6289
2/26/2019,2011,6059,3019
2/27/2019,6098,1996,3000
2/28/2019,6219,2059,3094
3/1/2019,2057,3104,6225
3/2/2019,1792,590,890
3/3/2019,709,461,1492
3/4/2019,7241,3579,2373
3/5/2019,6123,3061,2028
3/6/2019,2048,6207,3088
3/7/2019,5306,2612,1733
3/8/2019,5266,1728,2597
3/9/2019,506,771,1577
3/10/2019,1306,418,632
3/11/2019,2059,3102,6215
3/12/2019,2826,5677,1872
3/13/2019,1707,5254,2580
3/14/2019,1742,5337,2621
3/15/2019,1598,2413,4836
3/16/2019,729,479,1511
3/17/2019,399,1283,607
3/18/2019,3174,2114,6362
3/19/2019,5895,1955,2942
3/20/2019,2868,1906,5787
3/21/2019,1788,2686,5434
