Date,No_of_calls_from_commercial_card,No_of_calls_from_retail_card,No_of_calls_from_student_card
3/22/2019,4879,2417,1608
3/23/2019,487,1521,733
3/24/2019,638,1298,421
3/25/2019,6463,3183,2117
3/26/2019,6311,3142,2088
3/27/2019,5803,1915,2888
3/28/2019,2910,5854,1936
3/29/2019,5481,2715,1804
3/30/2019,515,1579,776
3/31/2019,441,1388,676
4/1/2019,6876,2287,3437
4/2/2019,2183,3285,6643
4/3/2019,6191,2039,3059
4/4/2019,1889,5718,2851
4/5/2019,5545,1824,2756
4/6/2019,620,1888,936
4/7/2019,449,1394,682
4/8/2019,3110,2073,6288
4/9/2019,2862,5764,1895
4/10/2019,2870,1911,5805
4/11/2019,1899,2852,5730
4/12/2019,5413,1779,2686
4/13/2019,530,1668,798
4/14/2019,1443,714,468
4/15/2019,2188,6647,3283
4/16/2019,3102,2061,6279
4/17/2019,2701,5436,1794
4/18/2019,1835,2760,5587
4/19/2019,4382,1443,2167
4/20/2019,459,693,1454
4/21/2019,494,1011,317
4/22/2019,2516,3790,7669
4/23/2019,3642,7354,2427
4/24/2019,6280,3135,2085
4/25/2019,3096,2060,6267
4/26/2019,2835,5748,1878
4/27/2019,1733,546,833
4/28/2019,467,712,1470
4/29/2019,3341,6762,2224
4/30/2019,3241,6511,2149
5/1/2019,7195,2385,3588
5/2/2019,6631,2197,3311
5/3/2019,1863,2800,5679
5/4/2019,1013,2046,672
5/5/2019,1590,503,764
5/6/2019,2305,7010,3467
5/7/2019,3099,2060,6208
5/8/2019,2074,3130,6270
5/9/2019,1999,6062,3011
5/10/2019,5647,2791,1856
5/11/2019,1605,766,508
5/12/2019,1297,615,397
5/13/2019,2108,6397,3176
5/14/2019,6262,3125,2078
5/15/2019,2948,5902,1957
5/16/2019,2864,5797,1897
5/17/2019,1846,5605,2782
5/18/2019,522,1572,786
5/19/2019,1378,449,682
5/20/2019,2322,7018,3486
5/21/2019,3774,7585,2507
5/22/2019,3581,7232,2387
5/23/2019,2121,3183,6466
5/24/2019,2590,5210,1726
5/25/2019,761,1596,496
5/26/2019,484,977,318
5/27/2019,1113,539,357
5/28/2019,7875,2607,3925
5/29/2019,7016,2324,3488
5/30/2019,2109,3182,6456
5/31/2019,5921,2938,1951
6/1/2019,1916,622,939
6/2/2019,751,491,1593
6/3/2019,3896,7862,2585
6/4/2019,7042,3519,2336
6/5/2019,6950,2295,3451
6/6/2019,6534,2166,3252
6/7/2019,6154,3031,2008
6/8/2019,1740,823,541
6/9/2019,1419,666,431
6/10/2019,2249,6832,3384
6/11/2019,3118,6317,2071
6/12/2019,2937,1945,5890
6/13/2019,5625,2773,1847
6/14/2019,2604,1727,5218
6/15/2019,801,1701,527
6/16/2019,617,1242,403
6/17/2019,6539,2156,3238
6/18/2019,3000,1994,6023
6/19/2019,2987,6045,1986
6/20/2019,2024,3043,6124
6/21/2019,5571,2752,1826
6/22/2019,1688,833,549
6/23/2019,1404,438,665
6/24/2019,6952,2286,3429
6/25/2019,3388,2252,6811
6/26/2019,3117,6272,2065
6/27/2019,6041,3020,2003
6/28/2019,5349,1769,2669
6/29/2019,841,1699,557
6/30/2019,1187,592,384
7/1/2019,7008,2317,3486
7/2/2019,6379,3178,2108
7/3/2019,5825,2904,1934
7/4/2019,421,849,280
7/5/2019,3364,1671,1101
7/6/2019,1273,601,390
7/7/2019,1259,389,594
7/8/2019,2388,7201,3593
7/9/2019,3073,6217,2044
7/10/2019,3076,6248,2041
7/11/2019,2917,5839,1933
7/12/2019,5026,2465,1633
7/13/2019,448,677,1427
7/14/2019,1339,662,433
7/15/2019,2248,6841,3388
7/16/2019,6449,3224,2149
7/17/2019,6470,2129,3206
7/18/2019,1905,5847,2876
7/19/2019,2675,1779,5421
7/20/2019,442,1347,664
7/21/2019,415,642,1315
7/22/2019,3540,7113,2350
7/23/2019,6277,3089,2059
7/24/2019,2073,3115,6302
7/25/2019,1981,2986,6057
7/26/2019,5439,1791,2694
7/27/2019,521,1651,795
7/28/2019,424,641,1308
7/29/2019,6679,2199,3301
7/30/2019,6237,2049,3090
7/31/2019,1991,6056,3004
8/1/2019,3143,6371,2088
8/2/2019,1838,5622,2764
8/3/2019,1686,551,836
8/4/2019,464,1471,712
8/5/2019,2450,3677,7444
8/6/2019,3194,6427,2122
8/7/2019,2002,6049,3020
8/8/2019,2863,5807,1901
8/9/2019,5043,1657,2490
8/10/2019,450,1445,683
8/11/2019,503,334,1025
8/12/2019,2179,6670,3285
8/13/2019,2985,6011,1984
8/14/2019,2004,6050,3012
8/15/2019,2959,5919,1965
8/16/2019,5133,1682,2539
8/17/2019,1496,459,700
8/18/2019,626,413,1289
8/19/2019,2113,3182,6384
8/20/2019,2042,6251,3080
8/21/2019,5690,2819,1877
8/22/2019,1956,5973,2941
8/23/2019,2376,1584,4818
8/24/2019,1370,673,440
8/25/2019,1279,414,625
8/26/2019,3423,2281,6861
8/27/2019,3004,6026,2000
8/28/2019,2069,3109,6233
8/29/2019,1844,5584,2779
8/30/2019,5294,2601,1721
8/31/2019,426,640,1310
9/1/2019,446,284,973
9/2/2019,1045,336,506
9/3/2019,2372,3567,7233
9/4/2019,3217,2134,6498
9/5/2019,2957,5969,1965
9/6/2019,1679,5097,2535
9/7/2019,1472,705,460
9/8/2019,385,588,1244
9/9/2019,2090,6283,3138
9/10/2019,5815,2901,1926
9/11/2019,1882,5768,2836
9/12/2019,1761,2660,5365
9/13/2019,2617,1733,5268
9/14/2019,571,1788,860
9/15/2019,1226,382,574
9/16/2019,2408,3630,7276
9/17/2019,2148,3234,6483
9/18/2019,3164,2096,6338
9/19/2019,2984,5998,1979
9/20/2019,2726,1809,5484
9/21/2019,1622,806,535
9/22/2019,1502,703,466
9/23/2019,2215,3339,6705
9/24/2019,2247,3379,6833
9/25/2019,3097,2063,6206
9/26/2019,6263,2068,3118
9/27/2019,2775,5601,1845
9/28/2019,1580,526,789
9/29/2019,416,634,1349
9/30/2019,3738,7503,2481
10/1/2019,2470,3718,7518
10/2/2019,3203,6427,2134
10/3/2019,5860,1938,2915
10/4/2019,5409,2671,1779
10/5/2019,511,779,1571
10/6/2019,443,666,1427
10/7/2019,3420,6863,2267
10/8/2019,3039,6155,2023
10/9/2019,5803,1909,2883
10/10/2019,1906,5800,2865
10/11/2019,2723,5487,1809
10/12/2019,1467,691,459
10/13/2019,370,1143,568
10/14/2019,2815,1866,5719
10/15/2019,2149,3228,6506
10/16/2019,2158,6492,3240
10/17/2019,5944,2927,1943
10/18/2019,1653,5080,2493
10/19/2019,1649,509,780
10/20/2019,648,1361,419
10/21/2019,6634,2180,3279
10/22/2019,3216,6447,2143
10/23/2019,6214,2051,3091
10/24/2019,1947,5911,2927
10/25/2019,2694,5470,1788
10/26/2019,880,1849,586
10/27/2019,582,377,1208
10/28/2019,2053,3098,6287
10/29/2019,5867,2915,1935
10/30/2019,6263,2060,3110
10/31/2019,2674,1778,5400
11/1/2019,5484,2729,1809
11/2/2019,602,1857,911
11/3/2019,1373,651,424
11/4/2019,7247,3602,2392
11/5/2019,3139,2085,6306
11/6/2019,2040,3068,6228
11/7/2019,1974,2971,5947
11/8/2019,1804,5514,2726
11/9/2019,1590,514,788
11/10/2019,387,1246,595
11/11/2019,2659,5325,1765
11/12/2019,6161,2036,3057
11/13/2019,1934,5838,2909
11/14/2019,5633,2769,1846
11/15/2019,5096,1688,2547
11/16/2019,1464,458,706
11/17/2019,540,359,1140
11/18/2019,3024,6054,2006
11/19/2019,1870,5660,2820
11/20/2019,5638,1864,2800
11/21/2019,2850,5795,1896
11/22/2019,1653,2496,5013
11/23/2019,437,663,1331
11/24/2019,438,888,289
11/25/2019,5740,1900,2868
11/26/2019,2761,5601,1836
11/27/2019,1426,2148,4359
11/28/2019,608,165,265
11/29/2019,1870,895,591
11/30/2019,589,381,1203
12/1/2019,520,346,1069
12/2/2019,6636,3296,2192
12/3/2019,5747,1912,2871
12/4/2019,5478,2723,1806
12/5/2019,2655,5390,1761
12/6/2019,1702,5181,2564
12/7/2019,514,779,1629
12/8/2019,441,669,1357
12/9/2019,1835,2763,5540
12/10/2019,2654,5359,1766
12/11/2019,2513,5075,1674
12/12/2019,5176,2546,1686
12/13/2019,4596,1495,2254
12/14/2019,395,1222,610
12/15/2019,472,313,1000
12/16/2019,5988,1974,2969
12/17/2019,5964,1979,2981
12/18/2019,5722,1897,2854
12/19/2019,2949,5949,1953
12/20/2019,1689,2553,5136
12/21/2019,466,1491,701
12/22/2019,385,844,252
12/23/2019,4517,1495,2248
12/24/2019,607,915,1874
12/25/2019,306,87,148
12/26/2019,1164,1753,3590
12/27/2019,1859,3749,1232
12/28/2019,331,1084,502
12/29/2019,348,722,225
12/30/2019,1599,2406,4889
12/31/2019,1147,3504,1735
1/1/2020,289,183,672
1/2/2020,1845,5591,2776
1/3/2020,4664,2290,1520
1/4/2020,1206,581,387
1/5/2020,332,516,1092
1/6/2020,6681,2196,3301
1/7/2020,5984,2986,1984
1/8/2020,5777,2841,1892
1/9/2020,5888,2924,1937
1/10/2020,2392,1586,4878
1/11/2020,698,459,1430
1/12/2020,1160,365,553
1/13/2020,6011,1961,2958
1/14/2020,5617,1845,2784
1/15/2020,2684,5452,1786
1/16/2020,6529,2141,3226
1/17/2020,2558,5172,1699
1/18/2020,1386,681,453
1/19/2020,1159,358,553
1/20/2020,4242,2100,1391
1/21/2020,2102,6374,3160
1/22/2020,5543,2767,1841
1/23/2020,2689,1792,5413
1/24/2020,1745,5333,2628
1/25/2020,534,1652,816
1/26/2020,1300,402,606
1/27/2020,6372,3171,2108
1/28/2020,3033,6113,2018
1/29/2020,1882,5723,2839
1/30/2020,5917,1943,2920
1/31/2020,5009,1640,2464
2/1/2020,522,1636,791
2/2/2020,571,1147,372
2/3/2020,2107,6383,3164
2/4/2020,1980,2976,5960
2/5/2020,1776,5373,2680
2/6/2020,1773,2668,5426
2/7/2020,2381,1574,4796
2/8/2020,1535,725,481
2/9/2020,547,1183,364
2/10/2020,5764,1913,2880
2/11/2020,2803,1862,5637
2/12/2020,1714,5204,2587
2/13/2020,4991,2492,1655
2/14/2020,4867,1605,2426
2/15/2020,1497,716,471
2/16/2020,509,339,1045
2/17/2020,2097,4218,1386
2/18/2020,1992,6025,2994
2/19/2020,1810,2734,5492
2/20/2020,2781,5573,1841
2/21/2020,1663,2504,5062
2/22/2020,695,463,1432
2/23/2020,1210,372,563
2/24/2020,6504,2136,3208
2/25/2020,5967,1960,2940
2/26/2020,6107,2008,3015
2/27/2020,1872,2828,5747
2/28/2020,4965,2443,1622
2/29/2020,673,1358,443
3/1/2020,1418,450,685
3/2/2020,6390,3194,2122
3/3/2020,2007,3024,6050
3/4/2020,5680,2803,1866
3/5/2020,1899,5816,2860
3/6/2020,1628,2459,5004
3/7/2020,619,410,1317
3/8/2020,530,344,1079
3/9/2020,2694,5402,1789
3/10/2020,2622,5277,1742
3/11/2020,5180,1690,2553
3/12/2020,4909,2414,1598
3/13/2020,4185,2059,1360
3/14/2020,1285,638,420
3/15/2020,286,958,439
3/16/2020,5076,2511,1673
3/17/2020,2413,4868,1605
3/18/2020,1991,4037,1320
3/19/2020,2077,1379,4171
3/20/2020,4118,2035,1350
3/21/2020,401,1273,619
3/22/2020,943,291,454
3/23/2020,4328,1440,2163
3/24/2020,2089,1382,4232
3/25/2020,2051,4120,1360
3/26/2020,2252,1490,4553
3/27/2020,1315,1985,4012
3/28/2020,329,1070,510
3/29/2020,927,426,272
3/30/2020,1525,4603,2289
3/31/2020,2140,4378,1421
4/1/2020,4782,2373,1576
4/2/2020,2276,4607,1511
4/3/2020,1521,2294,4664
4/4/2020,657,991,2010
4/5/2020,1414,432,659
4/6/2020,1621,2435,4967
4/7/2020,4532,1492,2249
4/8/2020,4230,1372,2072
4/9/2020,4008,1999,1332
4/10/2020,1086,3282,1640
4/11/2020,477,1030,306
4/12/2020,171,260,573
4/13/2020,1412,2137,4372
4/14/2020,1375,2068,4213
4/15/2020,1387,2100,4295
4/16/2020,1301,4008,1955
4/17/2020,1331,1997,4037
4/18/2020,1100,526,345
4/19/2020,325,204,679
4/20/2020,2144,1429,4355
4/21/2020,3965,1942,1294
4/22/2020,1247,3770,1876
4/23/2020,1937,1288,3908
4/24/2020,1255,1898,3802
4/25/2020,1081,491,316
4/26/2020,231,357,761
4/27/2020,4161,2051,1362
4/28/2020,1340,4032,2011
4/29/2020,1916,1270,3840
4/30/2020,1388,2087,4181
5/1/2020,1357,4175,2045
5/2/2020,378,791,242
5/3/2020,234,366,820
5/4/2020,4798,2373,1569
5/5/2020,2020,1338,4135
5/6/2020,1259,3854,1894
5/7/2020,3790,1847,1222
5/8/2020,1718,1139,3472
5/9/2020,278,433,927
5/10/2020,545,161,249
5/11/2020,1271,3846,1917
5/12/2020,1162,1747,3565
5/13/2020,1682,1109,3381
5/14/2020,3416,1690,1124
5/15/2020,1603,3262,1060
5/16/2020,905,406,267
5/17/2020,267,546,176
5/18/2020,2077,1384,4159
5/19/2020,1282,1932,3940
5/20/2020,3943,1960,1304
5/21/2020,4073,1320,1989
5/22/2020,2893,958,1446
5/23/2020,312,471,1000
5/24/2020,346,225,720
5/25/2020,195,685,310
5/26/2020,2324,4710,1547
5/27/2020,2066,1368,4144
5/28/2020,1322,4065,1988
5/29/2020,1796,3664,1195
5/30/2020,1017,492,326
5/31/2020,238,365,803
6/1/2020,2099,4298,1398
6/2/2020,2124,1415,4336
6/3/2020,1338,4093,2011
6/4/2020,1857,3800,1226
6/5/2020,3766,1863,1229
6/6/2020,1003,319,486
6/7/2020,324,729,212
6/8/2020,1335,2019,4046
6/9/2020,2034,1351,4091
6/10/2020,1152,3579,1744
6/11/2020,1959,1293,3972
6/12/2020,1642,1086,3311
6/13/2020,757,376,242
6/14/2020,241,835,378
6/15/2020,2119,4258,1403
6/16/2020,4231,1408,2113
6/17/2020,1948,3993,1295
6/18/2020,1230,3756,1862
6/19/2020,2887,945,1420
6/20/2020,352,543,1115
6/21/2020,685,200,301
6/22/2020,2143,1426,4349
6/23/2020,2007,1329,4112
6/24/2020,3855,1267,1903
6/25/2020,1324,4031,2004
6/26/2020,3660,1196,1804
6/27/2020,1175,551,366
6/28/2020,702,229,347
6/29/2020,4244,1396,2101
6/30/2020,4527,2226,1482
7/1/2020,2326,4739,1541
7/2/2020,3617,1795,1188
7/3/2020,1247,406,616
7/4/2020,162,98,329
7/5/2020,217,715,339
7/6/2020,1419,4291,2135
7/7/2020,3900,1920,1278
7/8/2020,3615,1187,1782
7/9/2020,3732,1841,1215
7/10/2020,1068,1616,3299
7/11/2020,593,1265,388
7/12/2020,713,330,213
7/13/2020,1338,4106,2017
7/14/2020,1141,1730,3503
7/15/2020,1956,3957,1296
7/16/2020,1305,1975,3970
7/17/2020,1196,1806,3674
7/18/2020,1015,330,497
7/19/2020,893,274,420
7/20/2020,1380,4225,2072
7/21/2020,1349,4146,2035
7/22/2020,3757,1844,1224
7/23/2020,1882,3767,1254
7/24/2020,1525,3121,1013
7/25/2020,507,1043,335
7/26/2020,813,245,379
7/27/2020,2286,1517,4603
7/28/2020,2199,1454,4447
7/29/2020,1904,1259,3907
7/30/2020,3975,1979,1307
7/31/2020,1136,3501,1722
8/1/2020,667,432,1398
8/2/2020,834,246,383
8/3/2020,1752,5348,2630
8/4/2020,2190,1457,4470
8/5/2020,3819,1872,1247
8/6/2020,4156,2057,1364
8/7/2020,3346,1095,1657
8/8/2020,1071,520,338
8/9/2020,417,906,275
8/10/2020,2062,4155,1365
8/11/2020,2114,1396,4263
8/12/2020,4098,2020,1340
8/13/2020,3945,1291,1937
8/14/2020,1217,1839,3716
8/15/2020,299,465,1021
8/16/2020,737,359,237
8/17/2020,2193,1453,4428
8/18/2020,1257,1889,3842
8/19/2020,1321,4062,2001
8/20/2020,1345,4063,2029
8/21/2020,3612,1170,1775
8/22/2020,330,515,1072
8/23/2020,837,238,373
8/24/2020,4423,1438,2168
8/25/2020,1295,1954,3945
8/26/2020,4043,2001,1322
8/27/2020,1978,1312,3968
8/28/2020,3929,1292,1956
8/29/2020,509,1045,339
8/30/2020,271,425,933
8/31/2020,1580,2390,4858
9/1/2020,2450,4962,1623
9/2/2020,4023,1315,1979
9/3/2020,4170,2081,1379
9/4/2020,3617,1173,1779
9/5/2020,450,288,960
9/6/2020,213,705,330
9/7/2020,693,194,309
9/8/2020,2187,1455,4429
9/9/2020,1355,2041,4166
9/10/2020,1382,4210,2078
9/11/2020,1216,3740,1832
9/12/2020,455,929,301
9/13/2020,420,870,279
9/14/2020,1966,1310,3996
9/15/2020,1394,2111,4233
9/16/2020,1293,1952,3921
9/17/2020,3671,1831,1209
9/18/2020,3266,1059,1600
9/19/2020,998,326,491
9/20/2020,260,390,822
9/21/2020,1413,4353,2129
9/22/2020,1414,4286,2131
9/23/2020,2128,4332,1415
9/24/2020,4037,1332,2003
9/25/2020,1245,3786,1868
9/26/2020,515,1083,341
9/27/2020,293,920,453
9/28/2020,4729,2338,1555
9/29/2020,1471,2220,4474
9/30/2020,4447,1451,2196
10/1/2020,4809,2365,1568
10/2/2020,1269,1914,3870
10/3/2020,460,300,926
10/4/2020,303,455,916
10/5/2020,4925,2419,1601
10/6/2020,1461,4490,2197
10/7/2020,4398,1435,2153
10/8/2020,1273,3828,1913
10/9/2020,1709,1136,3515
10/10/2020,979,479,316
10/11/2020,808,384,247
10/12/2020,1878,1243,3796
10/13/2020,4040,2008,1326
10/14/2020,1392,4239,2108
10/15/2020,1344,2017,4095
10/16/2020,1962,3976,1307
10/17/2020,351,1152,533
10/18/2020,918,446,293
10/19/2020,2240,4572,1490
10/20/2020,2283,4597,1513
10/21/2020,1545,2318,4713
10/22/2020,1549,4748,2329
10/23/2020,2007,4021,1331
10/24/2020,353,1163,543
10/25/2020,812,240,365
10/26/2020,1534,4655,2314
10/27/2020,2423,1605,4944
10/28/2020,2428,1614,4899
10/29/2020,4666,1522,2294
10/30/2020,2052,1355,4119
10/31/2020,1135,363,564
11/1/2020,947,283,429
11/2/2020,2643,5351,1753
11/3/2020,2207,4436,1466
11/4/2020,1377,4164,2075
11/5/2020,1375,2082,4199
11/6/2020,1211,1828,3729
11/7/2020,451,926,298
11/8/2020,398,870,259
11/9/2020,1462,2203,4439
11/10/2020,4194,1380,2089
11/11/2020,1669,3376,1110
11/12/2020,1403,2118,4331
11/13/2020,3473,1153,1730
11/14/2020,1014,485,311
11/15/2020,784,237,367
11/16/2020,2466,5009,1641
11/17/2020,1556,4754,2343
11/18/2020,1502,2266,4595
11/19/2020,1352,4165,2037
11/20/2020,1399,2101,4278
11/21/2020,356,534,1075
11/22/2020,242,809,375
11/23/2020,1492,4524,2243
11/24/2020,4430,2192,1457
11/25/2020,3821,1237,1861
11/26/2020,112,186,418
11/27/2020,423,1334,636
11/28/2020,996,301,463
11/29/2020,380,243,775
11/30/2020,1700,2552,5120
12/1/2020,2538,5134,1691
12/2/2020,2295,4617,1528
12/3/2020,1464,2206,4495
12/4/2020,1231,1854,3765
12/5/2020,343,519,1079
12/6/2020,250,390,858
12/7/2020,4713,1548,2337
12/8/2020,1439,4403,2169
12/9/2020,4492,1463,2204
12/10/2020,3961,1295,1951
12/11/2020,1817,3668,1203
12/12/2020,875,284,436
12/13/2020,371,237,810
12/14/2020,1340,4092,2024
12/15/2020,2030,1350,4080
12/16/2020,1494,4538,2243
12/17/2020,2178,4430,1447
12/18/2020,1201,3692,1820
12/19/2020,519,1125,341
12/20/2020,345,766,229
12/21/2020,4143,2024,1347
12/22/2020,1822,1212,3691
12/23/2020,1023,1537,3164
12/24/2020,415,640,1338
12/25/2020,60,90,278
12/26/2020,365,239,827
12/27/2020,178,634,268
12/28/2020,1683,1110,3441
12/29/2020,1673,1109,3368
12/30/2020,3103,1018,1535
12/31/2020,694,1050,2122
1/1/2021,334,98,155
1/2/2021,489,316,989
1/3/2021,350,783,233
1/4/2021,1615,2423,4895
1/5/2021,2220,1470,4531
1/6/2021,1915,3870,1272
1/7/2021,3717,1197,1813
1/8/2021,1751,1167,3542
1/9/2021,280,432,958
1/10/2021,664,213,331
1/11/2021,3787,1252,1891
1/12/2021,3697,1219,1832
1/13/2021,1797,1198,3601
1/14/2021,1196,1810,3711
1/15/2021,1117,3460,1686
1/16/2021,977,458,301
1/17/2021,745,211,325
1/18/2021,1349,2715,896
1/19/2021,4064,2030,1346
1/20/2021,1271,1914,3854
1/21/2021,3792,1235,1871
1/22/2021,3354,1115,1675
1/23/2021,490,1003,319
1/24/2021,243,379,779
1/25/2021,1379,4241,2086
1/26/2021,1341,2025,4054
1/27/2021,4056,1342,2015
1/28/2021,1241,1871,3761
1/29/2021,3229,1055,1593
1/30/2021,513,1110,335
1/31/2021,249,383,841
2/1/2021,1378,2071,4176
2/2/2021,2112,1406,4312
2/3/2021,4219,1375,2077
2/4/2021,1382,2077,4192
2/5/2021,3757,1246,1874
2/6/2021,536,1152,348
2/7/2021,195,611,298
2/8/2021,1903,3868,1265
2/9/2021,1182,3663,1786
2/10/2021,3657,1187,1786
2/11/2021,1791,1194,3591
2/12/2021,3064,1510,996
2/13/2021,321,484,1032
2/14/2021,227,729,342
2/15/2021,739,2291,1122
2/16/2021,1189,3700,1803
2/17/2021,3352,1086,1642
2/18/2021,3293,1621,1075
2/19/2021,1601,1064,3241
2/20/2021,1034,314,480
2/21/2021,378,240,779
2/22/2021,3993,1297,1964
2/23/2021,4140,2059,1363
2/24/2021,1247,3853,1882
2/25/2021,3731,1835,1221
2/26/2021,1272,3872,1915
2/27/2021,434,289,912
2/28/2021,809,243,368
3/1/2021,2101,4273,1400
3/2/2021,4352,1441,2176
3/3/2021,2036,4119,1354
3/4/2021,1195,3679,1807
3/5/2021,1736,3544,1150
3/6/2021,484,1018,312
3/7/2021,374,249,782
3/8/2021,1851,3703,1223
3/9/2021,1881,1250,3793
3/10/2021,1186,1791,3595
3/11/2021,1221,1833,3725
3/12/2021,3844,1267,1906
3/13/2021,1008,490,326
3/14/2021,898,433,286
3/15/2021,1560,4777,2352
3/16/2021,1453,2188,4429
3/17/2021,1393,4261,2106
3/18/2021,3949,1283,1932
3/19/2021,1575,3173,1049
3/20/2021,928,302,462
3/21/2021,354,234,727
3/22/2021,1613,4860,2422
3/23/2021,2138,1412,4288
3/24/2021,1304,1967,3937
3/25/2021,4053,1985,1313
3/26/2021,1260,1900,3847
3/27/2021,325,495,1026
3/28/2021,398,255,886
3/29/2021,2190,1455,4435
3/30/2021,2036,1346,4163
3/31/2021,1334,2003,4105
4/1/2021,1374,2073,4171
4/2/2021,1451,963,2954
4/3/2021,766,249,374
4/4/2021,242,150,548
4/5/2021,1389,4248,2084
4/6/2021,2074,4164,1380
4/7/2021,1852,3792,1232
4/8/2021,1766,1170,3556
4/9/2021,1036,3218,1568
4/10/2021,289,439,920
4/11/2021,305,193,651
4/12/2021,3876,1285,1937
4/13/2021,3545,1171,1762
4/14/2021,3612,1773,1171
4/15/2021,1850,3798,1230
4/16/2021,1159,1739,3487
4/17/2021,462,959,300
4/18/2021,717,330,210
4/19/2021,1274,3938,1928
4/20/2021,1944,1291,3949
4/21/2021,1929,3865,1283
4/22/2021,3661,1824,1210
4/23/2021,1587,3211,1058
4/24/2021,261,399,836
4/25/2021,344,229,770
4/26/2021,2094,4278,1392
4/27/2021,4038,2014,1336
4/28/2021,1220,1831,3737
4/29/2021,1661,3391,1094
4/30/2021,3440,1689,1119
5/1/2021,,,
5/2/2021,,,
5/3/2021,,,
5/4/2021,,,
5/5/2021,,,
5/6/2021,,,
5/7/2021,,,
5/8/2021,,,
5/9/2021,,,
5/10/2021,,,
5/11/2021,,,
5/12/2021,,,
5/13/2021,,,
5/14/2021,,,
5/15/2021,,,
5/16/2021,,,
5/17/2021,,,
5/18/2021,,,
5/19/2021,,,
5/20/2021,,,
5/21/2021,,,
5/22/2021,,,
5/23/2021,,,
5/24/2021,,,
5/25/2021,,,
5/26/2021,,,
5/27/2021,,,
5/28/2021,,,
5/29/2021,,,
5/30/2021,,,
5/31/2021,,,
6/1/2021,,,
6/2/2021,,,
6/3/2021,,,
6/4/2021,,,
6/5/2021,,,
6/6/2021,,,
6/7/2021,,,
6/8/2021,,,
6/9/2021,,,
6/10/2021,,,
6/11/2021,,,
6/12/2021,,,
6/13/2021,,,
6/14/2021,,,
6/15/2021,,,
6/16/2021,,,
6/17/2021,,,
6/18/2021,,,
6/19/2021,,,
6/20/2021,,,
6/21/2021,,,
6/22/2021,,,
6/23/2021,,,
6/24/2021,,,
6/25/2021,,,
6/26/2021,,,
6/27/2021,,,
6/28/2021,,,
6/29/2021,,,
6/30/2021,,,
7/1/2021,,,
7/2/2021,,,
7/3/2021,,,
7/4/2021,,,
7/5/2021,,,
7/6/2021,,,
7/7/2021,,,
7/8/2021,,,
7/9/2021,,,
7/10/2021,,,
7/11/2021,,,
7/12/2021,,,
7/13/2021,,,
7/14/2021,,,
7/15/2021,,,
7/16/2021,,,
7/17/2021,,,
7/18/2021,,,
7/19/2021,,,
7/20/2021,,,
7/21/2021,,,
7/22/2021,,,
7/23/2021,,,
7/24/2021,,,
7/25/2021,,,
7/26/2021,,,
7/27/2021,,,
7/28/2021,,,
7/29/2021,,,
7/30/2021,,,
7/31/2021,,,
